Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
23,41,0.5,lassata prior est.,clausa iam melior via est:
121,98,0.5238095238095238,"quid cessas, dea?","quid, misera, cessas?"
124,397,0.55,"reperi, quid haeres?",eheu quid hoc est?
139,470,0.5238095238095238,nescit irasci satis.,iustae parenti satis.
144,397,0.5,quid hoc?,eheu quid hoc est?
147,98,0.52,quid miser langues dolor?,"quid, misera, cessas?"
153,428,0.5,Quod paras demens scelus?,"quid, anime demens, refugis?"
215,370,0.5,si gener non fit.,Hic Troia non est.
221,93,0.9545454545454546,scelus occupandum est:,scelus occupandum est.
221,477,0.6818181818181819,scelus occupandum est:,scelus paratum est:
261,487,0.5,Vicit et superos Amor.,"Vita, si cupias mori."
449,98,0.7142857142857143,"Quid, anime, cessas?","quid, misera, cessas?"
449,428,0.5357142857142857,"Quid, anime, cessas?","quid, anime demens, refugis?"
450,40,0.5625,quid stupes?,quid fluctuaris?
452,253,0.5789473684210527,reddendus orbi est:,perdenda mors est?
455,93,0.5454545454545454,"sic, sic agendum est.",scelus occupandum est.
510,98,0.5238095238095238,"misera, pergis?","quid, misera, cessas?"
563,40,0.5,quid ora Sectis?,quid fluctuaris?
563,98,0.5238095238095238,quid ora Sectis?,"quid, misera, cessas?"
563,109,0.52,quid ora Sectis?,"quid terga vertis, anime?"
635,40,0.5789473684210527,quid parcis astris?,quid fluctuaris?
687,8,0.5135135135135135,"ubi vires prius
memet sepultae?","liberis plenus tribus
in me sepultis?"
708,247,0.5294117647058824,tibi cessit uni;,ars cessit malis;
746,419,0.65,peractum est.,"habet, peractum est."
757,376,0.5,victor Herculeus quis est?,Victor timere quid potest?
765,430,0.5,Consumpta mecum est.,domus timenda est.
824,397,0.5,quid hoc?,eheu quid hoc est?
834,365,0.5,stipitem atque arcus date.,Cecidit ante aras pater.
910,397,0.6666666666666667,Heu quid hoc?,eheu quid hoc est?
984,363,0.5,voltusque non idem fuit.,Festus et Troiae fuit.
1015,98,0.5217391304347826,quid misera duras vita?,"quid, misera, cessas?"
1016,40,0.5294117647058824,quid lucem tenes?,quid fluctuaris?
1053,98,0.5454545454545454,"quid, anime, trepidas?","quid, misera, cessas?"
1053,428,0.5714285714285714,"quid, anime, trepidas?","quid, anime demens, refugis?"
