Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
144,473,0.6923076923076923,quid hoc?,sed quid hoc?
150,483,0.55,quid fragilis ignes?,quid tremuit intus?
163,68,0.6923076923076923,aut pereat aut me perimat;,aut perdet aut peribit:
226,105,0.625,Ferrone?,Ferrum?
228,105,0.5714285714285714,Ferro.,Ferrum?
232,301,0.5217391304347826,Quis iste furor est?,Quaenam ista regio est?
430,63,0.5217391304347826,unus ambobus iacet.,numquid abiectus iacet?
449,121,0.5,"Quid, anime, cessas?","hoc, anime, occupa."
455,220,0.5238095238095238,"sic, sic agendum est.",timendum est.
455,251,0.6666666666666667,"sic, sic agendum est.",lacrimis agendum est:
473,231,0.5,at extendi potest.,In te quid potest?
486,304,0.5111111111111111,erroris est hic omne quodcumque est nefas.,"Effare et istud pande, quodcumque est, malum."
487,81,0.5,haut est nocens quicumque non sponte est nocens.,Fas est in illo quicquid in fratre est nefas.
489,73,0.5238095238095238,morte damnari placet.,voce laudari volet.
563,359,0.5,quid ora Sectis?,Quid ultra potuit?
594,46,0.5,peracta iam pars matris est:,Peccatum satis est;
617,421,0.5185185185185186,quae nata est iterum perit.,iam sat est etiam mihi.
635,102,0.52,quid parcis astris?,Quid novi rabidus struis?
635,300,0.5263157894736843,quid parcis astris?,Quid portas novi?
720,136,0.6470588235294117,giganta crede:,cui tanta credet?
730,498,0.8125,nunc odia ponis?,sic odia ponis?
732,136,0.5294117647058824,non arma tradet?,cui tanta credet?
746,220,0.5384615384615384,peractum est.,timendum est.
746,358,0.6153846153846154,peractum est.,gradus est.
748,486,0.5,"bracchia, amplexus cape.",Expedi amplexus pater:
763,301,0.6086956521739131,Vbinam ista palla est?,Quaenam ista regio est?
815,473,0.6153846153846154,Quid hoc?,sed quid hoc?
824,473,0.6923076923076923,quid hoc?,sed quid hoc?
851,155,0.5434782608695652,"Habet, peractum est, fata se nostra explicant;",per nos odia se nostra explicent.
910,473,0.8461538461538461,Heu quid hoc?,sed quid hoc?
926,373,0.5142857142857142,inter labores ignis Herculeos abit.,piceos ignis in fumos abit;
977,136,0.5,quid dextra tremuit?,cui tanta credet?
977,359,0.6,quid dextra tremuit?,Quid ultra potuit?
1013,503,0.5142857142857142,"vadis ad manes iter
habiturus unum.",nihil te genitor habiturus rogo.
1016,476,0.5294117647058824,quid lucem tenes?,vix lucet ignis;
1016,483,0.5263157894736843,quid lucem tenes?,quid tremuit intus?
1016,531,0.5,quid lucem tenes?,Quid liberi meruere?
1054,176,0.5,Herculis cineres tenes;,me dulcis saturet quies;
