Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
239,45,0.6388888888888888,"purisve clarum noctibus sidus micat,","nullum serenis noctibus sidus micat,"
492,336,0.7,Quid istud est quod esse secretum petis?,quid istud est quod esse prolatum volunt
594,725,0.631578947368421,ipsa in penates regios gressus feram,ipse ad penates regios referam gradum.
754,175,1.0,* *,* *
754,754,1.0,* *,* *
757,175,1.0,* *,* *
757,754,1.0,* *,* *
804,599,0.6666666666666667,ut stetit ad aras omne votivum pecus,"et stetit in armis omne vipereum genus,"
863,512,0.6052631578947368,"natum reposcit Iuppiter, Iuno aemulum.",telum deposuit Iuppiter igneum
913,818,0.7619047619047619,Ipse me Titan fugit.,Ipsa me pietas fugat.
914,819,0.8823529411764706,Vitam relinques?,Viduam relinques?
1092,417,0.8181818181818181,et tristes Erebi deos,et tristes Erebi minas
1136,481,0.7142857142857143,"et siccus Boreas ferit,",et quos vicinus Boreas ferit
1344,70,0.6666666666666667,"iaculare, Pallas, supplices tendo manus",Adfusus aris supplices tendo manus
