Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
28,143,0.5333333333333333,ferae negantur:,fata eruantur;
31,524,0.5789473684210527,quot scelera nudus!,quis scelera donat?
36,522,0.52,non habent pacem dei:,"Bene habet, peractum est:"
80,436,0.5263157894736843,quae prima querar?,quid verba quaeris?
110,486,0.5,sonuere postes:,solvendo non es:
123,188,0.5217391304347826,quod iubes fieri nefas?,quod hoc nefas?
124,178,0.5454545454545454,"reperi, quid haeres?","Genitor, quid hoc est?"
144,188,0.5333333333333333,quid hoc?,quod hoc nefas?
144,471,0.6923076923076923,quid hoc?,Sed quid hoc?
144,530,0.5,quid hoc?,Quid te vocem?
150,450,0.5,quid fragilis ignes?,Huc aliquis ignem!
171,479,0.6153846153846154,"misera, quid cassum times?","anime, quid mortem times?"
218,542,0.5416666666666667,nec potest fieri nocens:,nemo fit fato nocens.
232,530,0.5,Quis iste furor est?,Quid te vocem?
232,536,0.52,Quis iste furor est?,Quis frui tenebris vetat?
232,541,0.5,Quis iste furor est?,Fati ista culpa est:
361,329,0.5,quae te rursus fortuna rotat?,quid tam beatae desse fortunae rear?
387,446,0.9473684210526316,quid quaeris ultra?,Quid quaeris ultra?
404,99,0.5,"fare, si nondum occidit.","Fare, sit dubium licet:"
425,143,0.5555555555555556,facta inquinentur:,fata eruantur;
449,545,0.75,"Quid, anime, cessas?","Quid, anime, torpes?"
458,7,0.5,"nec levi telo manus
armetur:","ne mea genitor manu
perimatur;"
474,556,0.5,"eligere nescis, anime, cui telo incubes;",eligere nescis vulnus:
491,480,0.5897435897435898,Mors innocentes sola deceptos facit.,mors innocentem sola Fortunae eripit. '
493,301,0.5625,Vitam relinques?,solum relinquat:
493,386,0.8823529411764706,Vitam relinques?,Viduam relinques?
509,336,0.5714285714285714,quo.,sequor.
563,188,0.5,quid ora Sectis?,quod hoc nefas?
563,436,0.5789473684210527,quid ora Sectis?,quid verba quaeris?
565,434,0.5333333333333333,ignave dubitas?,dubitas?
565,532,0.5333333333333333,ignave dubitas?,dubitas?
635,436,0.5263157894736843,quid parcis astris?,quid verba quaeris?
635,446,0.5263157894736843,quid parcis astris?,Quid quaeris ultra?
727,446,0.9473684210526316,quid quaeris ultra?,Quid quaeris ultra?
763,541,0.5454545454545454,Vbinam ista palla est?,Fati ista culpa est:
800,541,0.5238095238095238,dolor iste furor est:,Fati ista culpa est:
811,491,0.52,Herculem amitto patrem.,"morere, sed citra patrem."
815,150,0.5,Quid hoc?,Quid flamma?
815,471,0.6153846153846154,Quid hoc?,Sed quid hoc?
815,530,0.5714285714285714,Quid hoc?,Quid te vocem?
824,188,0.5333333333333333,quid hoc?,quod hoc nefas?
824,471,0.6923076923076923,quid hoc?,Sed quid hoc?
824,530,0.5,quid hoc?,Quid te vocem?
827,524,0.5217391304347826,quis mihi terras dedit?,quis scelera donat?
827,536,0.56,quis mihi terras dedit?,Quis frui tenebris vetat?
852,541,0.65,lux ista summa est:,Fati ista culpa est:
856,446,0.5789473684210527,nil querimur ultra:,Quid quaeris ultra?
910,178,0.5,Heu quid hoc?,"Genitor, quid hoc est?"
910,471,0.8461538461538461,Heu quid hoc?,Sed quid hoc?
962,493,0.55,iam flere pudor est;,'et flere satis est?
977,436,0.5,quid dextra tremuit?,quid verba quaeris?
1015,436,0.5217391304347826,quid misera duras vita?,quid verba quaeris?
1016,188,0.5294117647058824,quid lucem tenes?,quod hoc nefas?
1016,545,0.5,quid lucem tenes?,"Quid, anime, torpes?"
1053,545,0.7272727272727273,"quid, anime, trepidas?","Quid, anime, torpes?"
1129,543,0.5476190476190477,"iam parce, mater, questibus:","Iam parce verbis, mater, et parce auribus:"
