Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
157,253,0.5526315789473684,Magnum timoris remedium clementia est.,Iners malorum remedium ignorantia est.
174,449,0.5333333333333333,Melius fides.,Prohibet fides.
232,261,0.5,Prohibebor unus facere quod cunctis licet?,"Vbi non licet tacere, quid cuiquam licet?"
306,116,0.5405405405405406,tandem quietem magnus excussit timor;,Curam perempti maior excussit timor.
355,484,0.5,Et hoc sat est?,hoc patri sat est;
355,493,0.55,Et hoc sat est?,'et flere satis est?
369,434,0.5333333333333333,Parere dubitas?,dubitas?
369,532,0.5333333333333333,Parere dubitas?,dubitas?
373,524,0.5789473684210527,Si scelera cepit.,quis scelera donat?
403,329,0.5277777777777778,quid saevior est Fortuna tibi?,quid tam beatae desse fortunae rear?
