Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
4,158,0.5,numquid timemur?,quid temptat?
6,604,0.59375,"quid astra, genitor, quid negas?","quid, genitor, siles?"
15,654,0.6666666666666667,inveniam viam.,mortis inveniam viam.
76,449,0.5,nil superest mali:,iam nullus superest timor:
77,637,0.53125,iratum miserae vidimus Herculem.,inferis reddam Herculem.
80,578,0.55,quae prima querar?,quas trahimus auras?
103,406,0.5,tota vix satis est domus:,post haec avari Ditis apparet domus:
121,305,0.5,"quid cessas, dea?",quid restat aliud?
139,675,0.5238095238095238,nescit irasci satis.,Herculem irasci veta.
144,107,0.5555555555555556,quid hoc?,quid?
144,235,0.5555555555555556,quid hoc?,quid?
144,469,0.6,quid hoc?,— sed quid hoc?
144,494,0.8888888888888888,quid hoc?,Quid hoc?
144,618,1.0,quid hoc?,quid hoc?
150,578,0.5,quid fragilis ignes?,quas trahimus auras?
178,332,0.52,hoc usitatum est Herculi:,hoc quoque est lentum:
218,41,0.5,nec potest fieri nocens:,nemo est nisi ipse:
221,1,0.5454545454545454,scelus occupandum est:,tellus colenda est:
221,636,0.5454545454545454,scelus occupandum est:,"sic, sic agendum est:"
222,520,0.5,perage dum fervet manus.,"cernis, ut tendat manus?"
232,110,0.6,Quis iste furor est?,Quid ista prosunt?
232,349,0.5,Quis iste furor est?,nec ire labor est;
233,191,0.5,"Quem meus coniunx
docet.",es rege coniunx digna:
261,35,0.5416666666666667,Vicit et superos Amor.,quaerit ad superos viam.
283,637,0.5,non tenent undae Herculem:,inferis reddam Herculem.
312,610,0.5217391304347826,merita vicerunt malos.,Tacita sic abeant mala.
343,42,0.5357142857142857,pectora pauper secura gerit.,bella iam secum gerat.
374,627,0.5625,monstrum elocor.,nostrum est.
380,585,0.5263157894736843,Nescio quod animus grande praesagit malum.,"nescio quod mihi,
nescio quod animus grande praesagit malum,
ubi es, parens?"
422,675,0.5,Herculem vicit Lichas?,Herculem irasci veta.
442,184,0.5217391304347826,unda non vincit malum;,arma non servant modum;
446,40,0.6818181818181819,fuimus Alcidae pares.,quaeris Alcidae parem?
450,110,0.5,quid stupes?,Quid ista prosunt?
450,158,0.5384615384615384,quid stupes?,quid temptat?
450,214,0.5294117647058824,quid stupes?,quid virtus erit?
450,618,0.5,quid stupes?,quid hoc?
