Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
109,135,0.5384615384615384,"queritur, implorat, gemit.",quaeritur fati genus.
121,43,0.5,"quid cessas, dea?",quid furens saltus amas?
122,377,0.5333333333333333,utere furente!,sanas furentem.
150,205,0.5,quid fragilis ignes?,det facilis aures:
224,122,0.75,Paelicis certe meae.,Paelicis careo metu.
226,115,0.5,Ferrone?,Ferus est?
232,325,0.5,Quis iste furor est?,Quodnam istud malum est?
268,672,0.5,interim scelus est fides.,interim haec ignes ferant.
270,303,0.868421052631579,En locus ab omni tutus arbitrio vacat.,En locus ab omni liber arbitrio vacat.
307,323,0.5909090909090908,precibus augebo malum.,precibus admotis agam.
361,589,0.5172413793103448,quae te rursus fortuna rotat?,Quanti casus humana rotant!
387,43,0.5,quid quaeris ultra?,quid furens saltus amas?
450,82,0.5,quid stupes?,quid ratio possit?
450,412,0.5263157894736843,quid stupes?,Quid deserta petis?
463,457,0.52,iam parce socero:,"iam perge, quaeso, perge:"
561,382,0.55,error a culpa vacat.,Deprensa culpa est.
563,82,0.5,quid ora Sectis?,quid ratio possit?
563,412,0.5789473684210527,quid ora Sectis?,Quid deserta petis?
586,300,0.5,"scelus est amoris, sed quid hoc?",serus est nobis pudor:
590,528,0.5128205128205128,mors sola portus dabitur aerumnis meis.,non imparatum pectus aerumnis fero.
596,533,0.5111111111111111,"nunc nostra superest, mortis auferre impetum.","nunc raptor obiit, mortis effare ordinem."
635,43,0.5,quid parcis astris?,quid furens saltus amas?
635,82,0.5263157894736843,quid parcis astris?,quid ratio possit?
654,43,0.5,quid diem hunc laetum vocas?,quid furens saltus amas?
661,268,0.5,"pro ferae, victae ferae!",pro iure vires esse.
727,43,0.5,quid quaeris ultra?,quid furens saltus amas?
739,397,0.7,tulisses.,talis est.
746,115,0.5384615384615384,peractum est.,Ferus est?
763,325,0.625,Vbinam ista palla est?,Quodnam istud malum est?
829,295,0.7407407407407407,"quam bene excideras, dolor!",quam bene excideram mihi!
977,82,0.5,quid dextra tremuit?,quid ratio possit?
977,412,0.55,quid dextra tremuit?,Quid deserta petis?
980,412,0.5,quid sedet pallor genis?,Quid deserta petis?
1016,174,0.5294117647058824,quid lucem tenes?,quid plura canam?
1053,213,0.5,"quid, anime, trepidas?","utendum artibus,
trepidamus?"
1096,27,0.5,"numina, casus:","en, diva, faves:"
1107,653,0.5,timent?,hic est?
