Disputed Sentence Index,Senecan Sentence Index,Similarity,Disputed Sentence,Senecan Sentence
4,12,0.5,numquid timemur?,quid tenes?
116,8,0.5,quid rogas Ditem mala?,quid moror sedes meas?
116,140,0.5909090909090908,quid rogas Ditem mala?,quid restat mali?
121,140,0.5294117647058824,"quid cessas, dea?",quid restat mali?
123,264,0.5217391304347826,quod iubes fieri nefas?,quid dubius haeres?
124,264,0.5,"reperi, quid haeres?",quid dubius haeres?
144,12,0.5454545454545454,quid hoc?,quid tenes?
149,140,0.52,— quid vetas flammas ali?,quid restat mali?
150,264,0.5,quid fragilis ignes?,quid dubius haeres?
150,315,0.5,quid fragilis ignes?,quae corripi igne.
220,309,0.5769230769230769,"quid stupes, segnis furor?",quis tenet mentem furor?
221,232,0.625,scelus occupandum est:,scelus in propinquo est:
223,265,0.5,Perimes maritum?,an times matris fidem?
242,121,0.5,"ut laesa es, dole.",ut careas die?
450,12,0.75,quid stupes?,quid tenes?
453,95,0.5,quod potes redde exhibe:,qua Voles mortem exige.
466,233,0.5,occupa ferrum ocius.,"occupa, mater, preces."
563,8,0.5,quid ora Sectis?,quid moror sedes meas?
563,12,0.5,quid ora Sectis?,quid tenes?
564,157,0.5416666666666667,hoc erit pietas scelus.,hoc alia pietas redimet:
583,299,0.6153846153846154,membra quis quatitur rota?,membra quassantur metu:
635,264,0.5263157894736843,quid parcis astris?,quid dubius haeres?
654,178,0.5357142857142857,quid diem hunc laetum vocas?,quid prece indomitum domas?
745,45,0.5,gemit:,resiste:
763,356,0.5,Vbinam ista palla est?,frangenda palma est.
773,12,0.5,decuit tenere;,quid tenes?
824,12,0.5454545454545454,quid hoc?,quid tenes?
922,21,0.5,en domita omnia.,timeo post matrem omnia.
973,208,0.5517241379310345,leve est quod actum est;,hoc leve est quod sum nocens:
977,140,0.55,quid dextra tremuit?,quid restat mali?
977,327,0.5714285714285714,quid dextra tremuit?,quid sceptra facient?
1016,12,0.6470588235294117,quid lucem tenes?,quid tenes?
1016,264,0.5789473684210527,quid lucem tenes?,quid dubius haeres?
1109,57,0.5,nec te manes umbraeque timent.,nec tamen in aequo est:
1124,45,0.5,arsisti.,resiste:
1142,57,0.5,misera mens incredula est.,nec tamen in aequo est:
